topic,week,avg_sentiment,volume
Company News,2021-08-02/2021-08-08,0.9998,1
Company News,2021-08-16/2021-08-22,0.9849,1
Company News,2021-09-06/2021-09-12,-0.9325,1
Company News,2021-11-01/2021-11-07,-0.1531,1
Company News,2021-12-06/2021-12-12,0.9881500000000001,2
Company News,2022-04-18/2022-04-24,-0.00275000000000003,2
Company News,2022-07-25/2022-07-31,0.8172,2
Company News,2022-10-31/2022-11-06,0.9336,1
Company News,2023-04-17/2023-04-23,0.9961,1
Company News,2023-07-31/2023-08-06,-0.9626,1
Company News,2023-11-27/2023-12-03,-0.9898,1
Company News,2024-01-22/2024-01-28,-0.9846,1
Company News,2024-04-15/2024-04-21,-0.9956,1
Company News,2024-04-22/2024-04-28,0.9995,1
Company News,2024-06-24/2024-06-30,-0.8614,1
Financial Personalities,2007-03-26/2007-04-01,0.9432,1
Financial Personalities,2007-05-28/2007-06-03,0.8825,1
Financial Personalities,2007-07-23/2007-07-29,0.2512,2
Financial Personalities,2007-08-13/2007-08-19,0.5158,1
Financial Personalities,2007-10-15/2007-10-21,0.9716,1
Financial Personalities,2008-02-04/2008-02-10,0.8378,1
Financial Personalities,2008-02-25/2008-03-02,-0.7724,1
Financial Personalities,2008-05-12/2008-05-18,0.9158,1
Financial Personalities,2008-08-04/2008-08-10,0.4696,1
Financial Personalities,2009-01-05/2009-01-11,0.9953,1
Financial Personalities,2009-02-09/2009-02-15,0.0,1
Financial Personalities,2009-08-17/2009-08-23,-0.5523,1
Financial Personalities,2009-09-28/2009-10-04,0.7851,1
Financial Personalities,2009-12-07/2009-12-13,0.4329,1
Financial Personalities,2010-01-11/2010-01-17,0.78885,2
Financial Personalities,2010-02-22/2010-02-28,0.992,1
Financial Personalities,2010-11-22/2010-11-28,0.923,1
Financial Personalities,2010-11-29/2010-12-05,0.9744,1
Financial Personalities,2010-12-27/2011-01-02,0.7385,1
Financial Personalities,2011-04-18/2011-04-24,0.9853,1
Financial Personalities,2011-05-23/2011-05-29,0.9376,1
Financial Personalities,2011-08-08/2011-08-14,-0.2047,1
Financial Personalities,2011-12-12/2011-12-18,-0.9401,1
Financial Personalities,2013-07-22/2013-07-28,0.9919,1
Financial Personalities,2014-04-28/2014-05-04,0.9927,1
Financial Personalities,2014-05-26/2014-06-01,0.9686,1
Financial Personalities,2015-02-02/2015-02-08,-0.8529,1
Financial Personalities,2015-03-16/2015-03-22,-0.0862,1
Financial Personalities,2016-03-28/2016-04-03,-0.9597,1
Financial Personalities,2016-07-25/2016-07-31,0.4477,1
Financial Personalities,2016-10-17/2016-10-23,0.9876,1
Financial Personalities,2017-05-15/2017-05-21,-0.9497,1
Financial Personalities,2017-08-07/2017-08-13,-0.34,1
Financial Personalities,2017-10-09/2017-10-15,0.4619,1
Financial Personalities,2018-03-12/2018-03-18,0.981,1
Financial Personalities,2018-08-06/2018-08-12,-0.0544,1
Financial Personalities,2021-10-25/2021-10-31,0.9274,1
Financial Personalities,2021-12-13/2021-12-19,0.9985,1
Financial Personalities,2023-05-22/2023-05-28,0.7695,1
Financial Personalities,2023-06-05/2023-06-11,0.9941,1
Financial Personalities,2024-07-08/2024-07-14,0.999,1
News Metadata,2007-02-12/2007-02-18,-0.5499,1
News Metadata,2007-10-29/2007-11-04,0.6416,1
News Metadata,2008-06-16/2008-06-22,-0.9874,1
News Metadata,2008-08-04/2008-08-10,-0.3182,1
News Metadata,2009-04-06/2009-04-12,0.9786,1
News Metadata,2009-05-25/2009-05-31,0.9922,1
News Metadata,2009-07-20/2009-07-26,0.9955,1
News Metadata,2009-09-21/2009-09-27,0.8608,1
News Metadata,2009-10-05/2009-10-11,0.9922,1
News Metadata,2010-07-19/2010-07-25,0.9757,1
News Metadata,2010-08-30/2010-09-05,0.7805,1
News Metadata,2010-09-13/2010-09-19,0.9937,1
News Metadata,2011-07-04/2011-07-10,0.9888,1
News Metadata,2011-07-25/2011-07-31,0.9081,1
News Metadata,2011-10-10/2011-10-16,-0.264,1
News Metadata,2011-11-21/2011-11-27,0.9857,1
News Metadata,2012-07-02/2012-07-08,0.9932,1
News Metadata,2012-07-09/2012-07-15,-0.907,1
News Metadata,2012-10-01/2012-10-07,0.5107714285714285,7
News Metadata,2012-10-08/2012-10-14,0.25475714285714285,7
News Metadata,2012-10-15/2012-10-21,-0.8689,1
News Metadata,2012-10-22/2012-10-28,0.30725,2
News Metadata,2012-10-29/2012-11-04,0.9952,1
News Metadata,2013-09-09/2013-09-15,-0.8695,1
News Metadata,2013-09-16/2013-09-22,0.5983,1
News Metadata,2013-10-07/2013-10-13,-0.9109,1
News Metadata,2013-10-21/2013-10-27,0.9607,1
News Metadata,2013-10-28/2013-11-03,-0.9681,1
News Metadata,2014-09-08/2014-09-14,0.9922,1
News Metadata,2014-09-22/2014-09-28,-0.6014,1
News Metadata,2015-03-02/2015-03-08,0.11345,2
News Metadata,2015-04-06/2015-04-12,0.9753,1
News Metadata,2015-05-25/2015-05-31,0.477,1
News Metadata,2015-06-22/2015-06-28,0.9828,3
News Metadata,2016-10-17/2016-10-23,-0.9832,1
News Metadata,2017-02-27/2017-03-05,-0.9801,1
News Metadata,2017-04-17/2017-04-23,0.999,1
News Metadata,2017-05-08/2017-05-14,-0.9214,1
News Metadata,2017-07-03/2017-07-09,0.9918,1
News Metadata,2017-07-17/2017-07-23,0.9477,1
News Metadata,2017-07-31/2017-08-06,0.9895,1
News Metadata,2017-10-23/2017-10-29,0.2918,1
News Metadata,2018-01-08/2018-01-14,0.4886,1
News Metadata,2018-01-22/2018-01-28,0.9709,1
News Metadata,2018-03-12/2018-03-18,-0.20490000000000003,2
News Metadata,2018-04-09/2018-04-15,-0.5942,1
News Metadata,2018-09-03/2018-09-09,0.8192,1
News Metadata,2018-09-10/2018-09-16,-0.9923,1
News Metadata,2018-12-10/2018-12-16,0.9741,1
News Metadata,2019-02-11/2019-02-17,-0.4844,1
News Metadata,2019-03-04/2019-03-10,-0.9906,1
News Metadata,2020-02-10/2020-02-16,0.802,1
News Metadata,2020-03-09/2020-03-15,-0.9638,1
News Metadata,2020-03-16/2020-03-22,0.33885,2
News Metadata,2020-04-20/2020-04-26,0.9915,1
News Metadata,2020-05-04/2020-05-10,0.9405,1
News Metadata,2020-05-11/2020-05-17,-0.7714,1
News Metadata,2020-06-01/2020-06-07,0.9355,1
News Metadata,2020-06-29/2020-07-05,-0.85075,2
News Metadata,2020-07-06/2020-07-12,-0.9277,1
News Metadata,2021-01-04/2021-01-10,0.8706,1
News Metadata,2021-06-07/2021-06-13,-0.9879,1
News Metadata,2021-06-14/2021-06-20,0.9588,1
News Metadata,2023-01-30/2023-02-05,0.9571,1
News Metadata,2023-03-13/2023-03-19,-0.9926,1
News Metadata,2023-06-12/2023-06-18,0.9865,1
News Metadata,2023-07-31/2023-08-06,0.9703,1
News Metadata,2023-09-04/2023-09-10,0.9791,1
News Metadata,2023-10-09/2023-10-15,-0.9367,1
News Metadata,2023-10-16/2023-10-22,0.9942,1
News Metadata,2023-12-11/2023-12-17,0.9915,1
News Metadata,2024-02-05/2024-02-11,-0.9889,1
News Metadata,2024-02-26/2024-03-03,0.9987,1
News Metadata,2024-04-08/2024-04-14,0.9445,1
Stock Market,2006-11-27/2006-12-03,-0.4391,1
Stock Market,2006-12-18/2006-12-24,-0.9168,1
Stock Market,2007-01-29/2007-02-04,0.8885,1
Stock Market,2007-02-12/2007-02-18,0.9956,1
Stock Market,2007-02-26/2007-03-04,0.9888,1
Stock Market,2007-03-19/2007-03-25,0.9793,1
Stock Market,2007-03-26/2007-04-01,-0.3424666666666667,3
Stock Market,2007-04-16/2007-04-22,0.85685,2
Stock Market,2007-04-23/2007-04-29,0.9876,1
Stock Market,2007-06-04/2007-06-10,0.9927,1
Stock Market,2007-07-30/2007-08-05,0.9485,1
Stock Market,2007-09-10/2007-09-16,-0.00029999999999996696,2
Stock Market,2007-10-08/2007-10-14,0.9931,1
Stock Market,2007-11-19/2007-11-25,0.8477,1
Stock Market,2007-11-26/2007-12-02,-0.3032,1
Stock Market,2008-01-07/2008-01-13,0.8924,1
Stock Market,2008-03-10/2008-03-16,0.7558,1
Stock Market,2008-03-17/2008-03-23,0.18636666666666665,3
Stock Market,2008-03-24/2008-03-30,-0.9303,1
Stock Market,2008-08-11/2008-08-17,-0.9799,1
Stock Market,2008-09-01/2008-09-07,-0.8126,1
Stock Market,2008-09-08/2008-09-14,0.9157500000000001,2
Stock Market,2008-11-17/2008-11-23,0.9356,1
Stock Market,2008-11-24/2008-11-30,0.6281,1
Stock Market,2009-03-02/2009-03-08,0.9794,1
Stock Market,2009-07-13/2009-07-19,0.9853,1
Stock Market,2009-07-20/2009-07-26,0.8277,1
Stock Market,2009-10-05/2009-10-11,0.9147,1
Stock Market,2009-11-30/2009-12-06,0.25,1
Stock Market,2010-03-15/2010-03-21,0.9491,1
Stock Market,2010-04-26/2010-05-02,0.1531,1
Stock Market,2010-05-10/2010-05-16,0.9999,1
Stock Market,2010-05-17/2010-05-23,-0.264,1
Stock Market,2010-10-04/2010-10-10,0.296,1
Stock Market,2010-10-25/2010-10-31,0.9932,1
Stock Market,2010-11-22/2010-11-28,0.9861,1
Stock Market,2010-12-06/2010-12-12,0.20124999999999998,2
Stock Market,2010-12-20/2010-12-26,0.7046,1
Stock Market,2011-01-10/2011-01-16,0.9906999999999999,2
Stock Market,2011-04-18/2011-04-24,0.9465,1
Stock Market,2011-06-20/2011-06-26,-0.49125,2
Stock Market,2011-06-27/2011-07-03,-0.9649,1
Stock Market,2011-08-01/2011-08-07,0.9282,1
Stock Market,2011-08-15/2011-08-21,0.8151,1
Stock Market,2011-11-07/2011-11-13,0.9144,1
Stock Market,2012-02-27/2012-03-04,-0.6705,1
Stock Market,2012-03-12/2012-03-18,0.5514,1
Stock Market,2012-03-26/2012-04-01,0.9929,1
Stock Market,2012-04-16/2012-04-22,0.8289,1
Stock Market,2012-04-30/2012-05-06,0.9719,1
Stock Market,2012-05-07/2012-05-13,0.991,1
Stock Market,2012-05-21/2012-05-27,0.9849,1
Stock Market,2012-05-28/2012-06-03,-0.9702,1
Stock Market,2012-07-09/2012-07-15,0.8666,2
Stock Market,2012-09-03/2012-09-09,-0.981,1
Stock Market,2012-10-01/2012-10-07,-0.12219999999999999,3
Stock Market,2012-10-08/2012-10-14,0.683,5
Stock Market,2012-10-15/2012-10-21,0.8962,1
Stock Market,2012-10-22/2012-10-28,0.9878,2
Stock Market,2012-10-29/2012-11-04,0.78455,2
Stock Market,2012-11-05/2012-11-11,0.028366666666666682,3
Stock Market,2012-11-26/2012-12-02,0.7524,1
Stock Market,2012-12-03/2012-12-09,-0.9089,1
Stock Market,2013-01-14/2013-01-20,0.9511,1
Stock Market,2013-03-25/2013-03-31,0.9667,1
Stock Market,2013-04-01/2013-04-07,-0.5985,1
Stock Market,2013-04-29/2013-05-05,0.9946,1
Stock Market,2013-05-13/2013-05-19,0.9641,1
Stock Market,2013-05-20/2013-05-26,-0.016699999999999993,2
Stock Market,2013-05-27/2013-06-02,0.9958,1
Stock Market,2013-06-03/2013-06-09,-0.25,1
Stock Market,2013-06-10/2013-06-16,-0.9791,1
Stock Market,2013-07-29/2013-08-04,0.8841,1
Stock Market,2013-08-05/2013-08-11,-0.4308,1
Stock Market,2013-09-09/2013-09-15,0.9875,1
Stock Market,2013-10-14/2013-10-20,0.9780500000000001,2
Stock Market,2013-11-11/2013-11-17,0.938,1
Stock Market,2013-12-09/2013-12-15,0.9959,1
Stock Market,2013-12-16/2013-12-22,0.8909,1
Stock Market,2014-01-06/2014-01-12,0.98515,2
Stock Market,2014-01-13/2014-01-19,-0.9639,1
Stock Market,2014-01-20/2014-01-26,0.9507,1
Stock Market,2014-02-17/2014-02-23,-0.6559,1
Stock Market,2014-03-24/2014-03-30,0.952,1
Stock Market,2014-03-31/2014-04-06,0.1796,1
Stock Market,2014-04-21/2014-04-27,0.8903,1
Stock Market,2014-04-28/2014-05-04,0.999,1
Stock Market,2014-05-05/2014-05-11,0.6577333333333333,3
Stock Market,2014-05-12/2014-05-18,0.1406,1
Stock Market,2014-06-09/2014-06-15,0.1779,1
Stock Market,2014-06-23/2014-06-29,-0.8067,1
Stock Market,2014-06-30/2014-07-06,0.9844,1
Stock Market,2014-07-14/2014-07-20,0.9984,1
Stock Market,2014-07-21/2014-07-27,-0.9856,1
Stock Market,2014-08-04/2014-08-10,0.7924,1
Stock Market,2014-08-18/2014-08-24,0.9927,2
Stock Market,2014-12-15/2014-12-21,-0.9872,1
Stock Market,2014-12-22/2014-12-28,0.1197,1
Stock Market,2014-12-29/2015-01-04,-0.981,1
Stock Market,2015-01-05/2015-01-11,-0.4349,1
Stock Market,2015-02-09/2015-02-15,0.9852,1
Stock Market,2015-03-02/2015-03-08,0.9817,1
Stock Market,2015-03-16/2015-03-22,0.9935,1
Stock Market,2015-03-30/2015-04-05,0.9983,1
Stock Market,2015-04-06/2015-04-12,0.9888,1
Stock Market,2015-04-20/2015-04-26,0.9752,1
Stock Market,2015-05-11/2015-05-17,0.6613,1
Stock Market,2015-05-25/2015-05-31,-0.8519,1
Stock Market,2015-06-29/2015-07-05,0.9187000000000001,2
Stock Market,2015-07-13/2015-07-19,0.9979,1
Stock Market,2015-10-19/2015-10-25,0.9169,1
Stock Market,2015-11-02/2015-11-08,0.9991,1
Stock Market,2015-11-09/2015-11-15,0.9805,1
Stock Market,2015-12-07/2015-12-13,-0.99,1
Stock Market,2015-12-21/2015-12-27,0.827,1
Stock Market,2015-12-28/2016-01-03,0.9727,1
Stock Market,2016-01-04/2016-01-10,0.9911,1
Stock Market,2016-04-25/2016-05-01,-0.9488,1
Stock Market,2016-05-16/2016-05-22,0.9039333333333334,3
Stock Market,2016-06-13/2016-06-19,0.24835000000000002,2
Stock Market,2016-06-20/2016-06-26,0.9847,1
Stock Market,2016-07-11/2016-07-17,-0.929,1
Stock Market,2016-07-18/2016-07-24,0.9976,1
Stock Market,2016-07-25/2016-07-31,0.5765,1
Stock Market,2016-08-01/2016-08-07,0.9931,1
